drinks			12
kaffi	coffee	커피
drekaávöxtur	dragon fruit	용과
snákaávöxtur	snake fruit	비늘야자
gullaldin	mangosteen	망고스틴
límóna	lime	라임
ég kreisti	I squeeze	저는 짜요
ég pressa	I press	저는 눌러요
even_more_cooking			16
ávaxtapressa	fruit press	과일 압착기
spaði	spatula	주걱
rifjárn	cheese grater	치즈 강판
tappatogari	wine opener	와인 따개
töng	tongs	집게
hvítlaukspressa	garlic press	마늘 압착기
mæliglös	measuring cups	계량컵
eldhúsvigt	kitchen scale	부엌 저울
mæliskeiðar	measuring spoons	계량스푼
wok	wok	냄비
sinnep	mustard	겨자
tómatsósa	ketchup	케첩
sterk sósa	hot sauce	핫소스
sojasósa	soy sauce	간장
ég ríf	I grate	저는 강판에 갈아요
ég smyr	I spread	저는 펴발라요
snacks			18
beygla	bagel	베이글
snakkpoki	bag of chips	감자칩 한봉지
poppkorn	popcorn	팝콘
súrkrás	pickle	피클
nachos	nachos	나초
mjólkurhristingur	milkshake	밀크 쉐이크
þurrkað nautakjöt	beef jerky	소고기 육포
þurrkaðir ávextir	dried fruit	말린 과일
ferðasnakk	trail mix	트레일 믹스
hlaup	jelly	젤리
snakk og ídýfa	chips and dip	감자칩과 딥
sælgætisstafur	candy cane	사탕 지팡이
karamelluepli	caramel apple	카라멜 사과
piparkaka	gingerbread	생강 쿠키
tyggigúmmí	chewing gum	껌
búðingur	pudding	푸딩
ég skipti á milli	I split	저는 나눠 먹어요
ég missi	I drop	저는 떨어뜨려요
breakfast_foods			16
pönnukaka	pancake	팬케이크
morgunkorn	cereal	곡류
vaffla	waffle	와플
eggjakaka	omelet	오믈렛
hafrastöng	granola bar	그래놀라 바
ristabrauð	toast	토스트
hafragrautur	oatmeal	오트밀
baka	quiche	키쉬
brioche	brioche	브리오쉬
kúskús	couscous	쿠스쿠스
kínóa	quinoa	퀴노아
kjúklingabaun	chickpea	병아리콩
hafrar	oat	귀리
linsubaun	lentil	렌틸콩
ég klíni	I smear	저는 발라요
ég pakka inn	I wrap	저는 싸요
essentials_01_-_daytripper			17
já	yes	네
nei	no	아니요
hæ	hi	안녕하세요
takk fyrir	thank you	감사합니다
vinsamlegast	please	제발
klósett	toilet	화장실
veitingahús	restaurant	식당
fyrirgefðu	Sorry!	미안해요
Talar þú ensku?	Do you speak English?	영어를 할 줄 아세요?
Get ég fengið vatn	I need water.	물이 필요해요
lokað	closed	닫다
opið	open	열다
Hjálp!	Help!	도와주세요!
reikninginn, takk	The bill, please!	계산서를 주세요
afsakaðu	Excuse me!	실례합니다
Hversu mikið?	How much?	얼마인가요?
matseðil, takk	Menu, please!	메뉴를 주세요
essentials_02_-_sightseer			16
bless	bye	안녕히 가세요
hraðbanki	ATM machine	ATM 기계
kreditkort	credit card	신용카드
sjúkrahús	hospital	병원
vinsamlegast bíddu	Please wait!	기다려주세요
herrar	gents	남자 화장실
dömur	ladies	여자 화장실
Hvar er matvöruverslunin?	Where is the supermarket?	슈퍼마켓이 어디에 있나요?
ekkert mál	No problem!	문제없어요!
þennan	That one!	그거요!
inngangur	entrance	입구
útgangur	exit	출구
lögregla	police	경찰
Hversu mörg?	How many?	얼마나?
einn í viðbót	One more!	하나 더
einum minna	One less!	하나 적게
essentials_03_-_nomad			16
einn	one	일
tveir	two	이
þrír	three	삼
fjórir	four	사
fimm	five	오
sex	six	육
sjö	seven	칠
átta	eight	팔
níu	nine	구
tíu	ten	십
Ég er með ofnæmi fyrir hnetum	I'm allergic to peanuts.	저는 땅콩 알레르기가 있어요
ég er glaður	I am happy.	저는 행복해요
Skilur þú?	Do you understand?	이해했어요?
of dýrt	Too expensive!	너무 비싸요
Eitthvað fleira?	Anything else?	다른 건 필요 없나요?
nei, þetta var allt	No, that's all.	없어요, 그게 다예요.
essentials_04_-_globetrotter			18
tuttugu	twenty	이십
hundrað	hundred	백
vinstri	left	왼쪽
hægri	right	오른쪽
beint áfram	straight ahead	직진
fjörutíu	forty	사십
þrjátíu	thirty	삼십
þúsund	thousand	천
ég er frá	I'm from	저는 -에서 왔어요
aðgangur bannaður	do not enter	진입 금지
aðeins peningar	cash only	현금만 가능
farðu burt	Go away!	저리 가!
Ég er týndur	I'm lost.	저는 길을 잃었어요
Ég er veikur	I'm sick.	저는 아파요
stöðva hér	Stop here!	여기에 멈춰주세요
Hvaðan ertu?	Where are you from?	어디에서 왔어요?
Hvað heitir þú?	What's your name?	이름이 뭐예요?
Ég heiti Alex.	My name is Alex.	저의 이름은 알렉스입니다
meet_&_greet			17
Afsakið	Excuse me!	실례합니다!
ekkert að þakka	You're welcome!	천만에요
gaman að kynnast þér	Nice to meet you!	만나서 반가워요
Getur þú aðstoðað?	Can you help me?	저를 도와주실래요?
góðan dag	Good morning!	좋은 아침이에요
góðan dag	Good afternoon!	안녕하세요
gott kvöld	Good evening!	좋은 저녁 되세요
góða nótt	Good night!	잘 자요
Hvernig hefur þú það?	How are you?	어떻게 지냈어요?
Fínt, takk.	Fine, thank you.	잘 지냈어요. 고마워요
En þú?	And you?	당신은요?
Hvernig er veðrið?	How's the weather?	날씨가 어때요?
það er gott	It's nice.	좋아요
það er slæmt	It's bad.	나빠요
það er heitt	It's hot.	더워요
það er kalt	It's cold.	추워요
ég líka	Me too.	저도요
buy_&_bargain			10
það er ekkert	There isn't any.	없어요
ódýrari	A cheaper one.	더 싼 것
Hversu mikið?	How much?	얼마예요?
helmingur	half	절반
allt	All of it.	모두
Get ég borgað með greiðslukorti?	Can I pay with credit card?	카드로 결제할 수 있나요?
Eigið þið póstkort?	Do you have postcards?	엽서가 있나요?
þennan	This one!	이거요
Ég vil ekki	I don't want.	원하지 않아요
skrifaðu það niður	Write it down!	쓰다
essential_products			18
regnhlíf	umbrella	우산
landakort	map	지도
hleðslutæki	charger	충전기
sólgleraugu	sunglasses	선글라스
lestarmiði	rail ticket	기차표
sólarvörn	sunscreen	선크림
millistykki	adaptor	어댑터
aspirín	aspirin	아스피린
SIM kort	SIM card	심 카드
kort í neðanjarðarlest	metro pass	지하철 패스권
strætómiði	bus ticket	버스표
Pepto Bismol	Pepto Bismol	까스활명수
bensín	gasoline	가솔린
minjagripur	souvenir	기념품
aðgöngumiði	entrance ticket	입장 티켓
snyrtivörur	toiletries	세면도구
minniskort	memory card	메모리 카드
flöskuvatn	bottled water	생수
staying_safe			18
flugvöllur	airport	공항
hótel	hotel	호텔
banki	bank	은행
lestarstöð	train station	기차역
pósthús	post office	우체국
læknir	doctor	의사
umferðarmiðstöð	bus station	버스 승강장
stigi	stairs	계단
Burtu	Keep off!	주의
ekki snerta	Don't touch!	만지지 마세요
farðu varlega	Be careful!	조심하세요
gættu þín	Watch out!	조심하세요
Ég týndi veskinu mínu.	I lost my wallet.	지갑을 잃어버렸어요
Má ég nota farsímann þinn?	Can I use your mobile?	핸드폰을 빌릴 수 있나요?
neyðarútgangur	emergency exit	비상구
sími	telephone	전화
neðanjarðarlestarstöð	metro station	지하철역
markaður	market	시장
getting_around			18
Hvað er þetta kallað?	What's this called?	뭐라고 불러요?
Hversu langt?	How far?	얼마나 멀리 있어요?
Er það nálægt?	Is it near?	가까이 있어요?
Hvað er langt á flugvöllinn?	How long to get to the airport?	공항까지 얼마나 걸려요?
til vinstri	On the left.	왼쪽
til hægri	On the right.	오른쪽
hægðu á þér	Slow down!	천천히
Fara klukkan hvað?	Leave at what time?	몇시에 출발할까요?
í dag	today	오늘
á morgun	tomorrow	내일
í gær	yesterday	어제
núna	now	지금
seinna	later	나중에
Hvað er klukkan?	What time is it?	지금 몇시예요?
Hún er 3.	It's 3 o'clock.	3시예요
Á flugvöllinn, takk!	To the airport please!	공항으로 가주세요
Getur þú tekið mynd af mér?	Can you take my photo?	사진을 찍어주세요
Má ég taka mynd af þér?	Can I take your photo?	사진을 찍어드릴까요?
eat_&_drink			5
grænmetisæta	vegetarian	채식주의자
Með hverju mælir þú?	What do you recommend?	어떤 것을 추천하나요?
ljúffengt	delicious	맛있어요
njóttu matarins	Enjoy your meal!	맛있게 드세요
skál	Cheers!	건배
meet_the_locals			18
hérna	here	여기
þarna	there	거기
Hvað gerir þú?	What do you do?	무엇을 하시나요?
Ert þú héðan?	Are you from here?	여기 출신인가요?
smá	a little	조금요
Hvað ert þú gamall?	How old are you?	몇살이세요?
Ég hef verið hér í fimm daga.	I have been here 5 days.	5일 동안 있었어요
hver	Who?	누구
hvað	What?	무엇
hvenær	When?	언제
hvar er matvöruverslunin?	Where?	어디서
hvers vegna	Why?	왜
hvernig	How?	어떻게
þarna	over there	저기
rangt	wrong	잘못된
rétt	correct	맞은
endurtaka	Repeat!	반복
tala hægt	Speak slowly!	천천히 말해요
counting			17
ellefu	eleven	십일
tólf	twelve	십이
áttatíu	eighty	팔십
fimmtíu	fifty	오십
níutíu	ninety	구십
sjötíu	seventy	칠십
sextíu	sixty	육십
þrettán	thirteen	십삼
fjórtán	fourteen	십사
fimmtán	fifteen	십오
sextán	sixteen	십육
sautján	seventeen	십칠
átján	eighteen	십팔
nítján	nineteen	십구
tuttugu og einn	twenty-one	이십일
tuttugu og fimm	twenty five	이십오
sjötíu og fimm	seventy five	칠십오
counting_2			13
hundrað og fimmtíu	one hundred fifty	백오십
tvö hundruð	two hundred	이백
þrjú hundruð	three hundred	삼백
fjögur hundruð	four hundred	사백
fimm hundruð	five hundred	오백
tvö þúsund	two thousand	이천
þrjú þúsund	three thousand	삼천
fjögur þúsund	four thousand	사천
fimm þúsund	five thousand	오천
tíu þúsund	ten thousand	만
fimmtíu þúsund	fifty thousand	오만
hundrað þúsund	one hundred thousand	십만
milljón	one million	백만
essentials			17
já	yes	네
nei	no	아니요
allt í lagi	ok	알겠어
hæ	hi	안녕하세요
takk fyrir	thank you	감사합니다
bless	bye	안녕히 가세요
vinsamlegast	please	제발
ég	I	저
kona	woman	여자
maður	man	남자
og	and	그리고
eða	or	혹은
þetta	this	이
stelpa	girl	여자아이
strákur	boy	남자아이
mér líkar	I like	저는 좋아해요
ég hitti	I meet	저는 만나요
numbers			16
núll	zero	영
einn	one	일
tveir	two	이
þrír	three	삼
fjórir	four	사
fimm	five	오
sex	six	육
sjö	seven	칠
átta	eight	팔
níu	nine	구
tíu	ten	십
ellefu	eleven	십일
tólf	twelve	십이
tuttugu	twenty	이십
hundrað	hundred	백
ég held	I think	저는 생각해요
colors			15
svartur	black	검은색
blár	blue	파란색
brúnn	brown	갈색
gylltur	gold	금색
grænn	green	초록색
grár	gray	회색
appelsínugulur	orange	주황색
bleikur	pink	분홍색
fjólublár	purple	보라색
regnbogi	rainbow	무지개
rauður	red	빨간색
silfur	silver	은색
hvítur	white	하얀색
gulur	yellow	노란색
ég mála	I paint	저는 그림을 그려요
pronouns			17
allir	everybody	모두
hann	he	그는
hennar	her	그녀의
hans	his	그의
það	it	그것은
þess	its	그것의
minn	my	나의
enginn	nobody	아무도
hún	she	그녀는
þeirra	their	그들의
þau	they	그들은
við	we	우리는
þú	you	너는
þitt	your	너의
ég hringi	I call	저는 전화해요
ég kynni	I introduce	저는 소개해요
ég tala	I speak	저는 말해요
more_numbers			17
áttatíu	eighty	팔십
fimmti	fifth	다섯 번째
fimmtíu	fifty	오십
fyrsti	first	첫 번째
fjörutíu	forty	사십
fjórði	fourth	네 번째
milljón	million	백만
níutíu	ninety	구십
sekúnda	second	두 번째
sjötíu	seventy	칠십
sjötti	sixth	여섯 번째
sextíu	sixty	육십
þriðji	third	세 번째
þrjátíu	thirty	삼십
þúsund	thousand	천
tuttugu og einn	twenty one	이십일
tuttugu og tveir	twenty two	이십이
countries			17
Ástralía	Australia	호주
Brasilía	Brazil	브라질
Kanada	Canada	캐나다
Kína	China	중국
Finnland	Finland	핀란드
Frakkland	France	프랑스
Þýskaland	Germany	독일
Bretland	Great Britain	영국
Ítalía	Italy	이탈리아
Japan	Japan	일본
Mexíkó	Mexico	멕시코
Noregur	Norway	노르웨이
Rússland	Russia	러시아
Spánn	Spain	스페인
Svíþjóð	Sweden	스웨덴
Holland	the Netherlands	네덜란드
Bandaríkin	the United States of America	미국
nationalities			17
bandarískur	American	미국인
ástralskur	Australian	호주인
brasilískur	Brazilian	브라질인
breskur	British	영국인
kanadískur	Canadian	캐나다인
kínverskur	Chinese	중국인
hollenskur	Dutch	네덜란드인
finnskur	Finnish	핀란드인
franskur	French	프랑스인
þýskur	German	독일인
ítalskur	Italian	이탈리아인
japanskur	Japanese	일본인
mexíkóskur	Mexican	멕시코인
norskur	Norwegian	노르웨이인
rússneskur	Russian	러시아인
spænskur	Spanish	스페인인
sænskur	Swedish	스웨덴인
shapes			16
bogi	arch	아치형 구조물
hringur	circle	원
keila	cone	원뿔
teningur	cube	큐브
sívalningur	cylinder	원기둥
átthyrningur	octagon	팔각형
sporaskja	oval	타원형
fimmhyrningur	pentagon	오각형
pýramídi	pyramid	피라미드
rétthyrningur	rectangle	직사각형
sexhyrningur	hexagon	육각형
hringur	ring	링
kúla	sphere	구
ferningur	square	사각형
þríhyrningur	triangle	삼각형
fleygur	wedge	쐐기
more_nationalities			18
írskur	Irish	아일랜드의
walesbúi	Welsh	웰시의
skoskur	Scottish	스코틀랜드의
portúgalskur	Portuguese	포르투갈의
grískur	Greek	그리스의
króatískur	Croatian	크로아티아의
svissneskur	Swiss	스위스의
úkraínskur	Ukranian	우크라이나의
kóreskur	Korean	한국의
taívanskur	Taiwanese	대만의
filippseyjabúi	Filipino	필리핀의
taílenskur	Thai	태국의
malasískur	Malaysian	말레이시아의
indónesískur	Indonesian	인도네시아의
belgískur	Belgian	벨기에의
austurískur	Austrian	오스트리아의
ég er frá	I'm from	저는 -에서 왔어요
ég heimsæki	I visit	저는 방문해요
more_countries			17
írland	Ireland	아일랜드
wales	Wales	웨일스
skotland	Scotland	스코틀랜드
portúgal	Portugal	포르투갈
grikkland	Greece	그리스
króatía	Croatia	크로아티아
sviss	Switzerland	스위스
úkraína	Ukraine	우크라이나
suður kórea	South Korea	대한민국
filippseyjar	Philippines	필리핀
taíland	Thailand	태국
malasía	Malaysia	말레이시아
indónesía	Indonesia	인도네시아
belgía	Belgium	벨기에
austurríki	Austria	오스트리아
ég bý á	I live in	저는 -에 살아요
ég fer í skoðunarferð	I go sightseeing	저는 관광해요
weather			15
þoka	fog	안개
rigning	rain	비
snjór	snow	눈
sól	sun	해
hitastig	temperature	온도
veðurspá	weather forecast	일기예보
vindur	wind	바람
regnhlíf	umbrella	우산
regnkápa	raincoat	우비
vetur	winter	겨울
sumar	summer	여름
haust	fall	가을
vor	spring	봄
ís	ice	얼음
stormur	storm	폭풍
outdoor			17
tjaldbúðir	camp	캠프
flugnanet	mosquito net	모기장
vasaljós	flashlight	손전등
kerti	candle	양초
dósamatur	canned food	통조림
áttaviti	compass	나침반
reipi	rope	밧줄
svefnpoki	sleeping bag	침낭
varðeldur	campfire	캠프 파이어
skæri	scissors	가위
dósaopnari	can opener	통조림 따개
vasahnífur	pocket knife	포켓 나이프
ljós	light	빛
eldspýtur	matches	성냥
vatnsflaska	water bottle	물병
ég skýt	I shoot	저는 쏘아요
ég klifra	I climb	저는 올라가요
animals			17
fugl	bird	새
naut	bull	황소
köttur	cat	고양이
kjúklingur	chicken	닭
kýr	cow	소
hundur	dog	개
asni	donkey	당나귀
önd	duck	오리
geit	goat	염소
hestur	horse	말
mús	mouse	쥐
svín	pig	돼지
dúfa	pigeon	비둘기
kanína	rabbit	토끼
kind	sheep	양
kalkúnn	turkey	칠면조
ég fóðra	I feed	저는 먹이를 줘요
plants			17
bambus	bamboo	대나무
trjágrein	branch	나뭇가지
kaktus	cactus	선인장
blóm	flower	꽃
gras	grass	잔디
kryddjurtir	herbs	허브
lauf	leaf	잎
trjástofn	log	통나무
pálmatré	palm tree	야자나무
furutré	pine tree	소나무
rót	root	뿌리
fræ	seed	씨
jarðvegur	soil	흙
spíra	sprout	새싹
spýta	stick	막대기
tré	tree	나무
viður	wood	목재
wild_animals			17
maur	ant	개미
leðurblaka	bat	박쥐
björn	bear	곰
býfluga	bee	벌
fiðrildi	butterfly	나비
kameldýr	camel	낙타
kakkalakki	cockroach	바퀴벌레
fíll	elephant	코끼리
froskur	frog	개구리
api	monkey	원숭이
rotta	rat	쥐
hákarl	shark	상어
snigill	snail	달팽이
slanga	snake	뱀
könguló	spider	거미
skjaldbaka	turtle	거북이
úlfur	wolf	늑대
fire			17
grill	barbecue	바비큐
eldur	fire	불
brunaboði	fire alarm	화재 경보
eldvarnarhnappur	fire alarm button	화재 경보 버튼
flóttaleið	fire exit	비상구
slökkvitæki	fire extinguisher	소화기
brunaslanga	fire hose	소방 호스
brunahani	fire hydrant	소화전
úðakerfi	fire sprinkler	화재 스프링쿨러
skógareldur	forest fire	산불
húsbruni	house fire	집불
ég slekk á	I extinguish	저는 불을 꺼요
ég kveiki í	I light up	저는 불을 피워요
reykur	smoke	연기
reykskynjari	smoke detector	연기 감지기
neisti	spark	불꽃
kyndill	torch	횃불
more_wild_animals			17
bufall	buffalo	버팔로
kamelljón	chameleon	카멜레온
kóbraslanga	cobra	코브라
krókódíll	crocodile	악어
risaeðla	dinosaur	공룡
gekkói	gecko	도마뱀붙이
gíraffi	giraffe	기린
górilla	gorilla	고릴라
ég datt	I fell over	저는 넘어져요
ég þefa	I smell	저는 냄새를 맡아요
græneðla	iguana	이구아나
kengúra	kangaroo	캥거루
eðla	lizard	도마뱀
pardusdýr	panther	표범
nashyrningur	rhino	코뿔소
tígrisdýr	tiger	호랑이
sebrahestur	zebra	얼룩말
air			17
loftbelgir	balloons	풍선
loftpúði	airbag	에어백
uppgufun	evaporation	증발
útblástur	exhaust fume	배기가스
vifta	fan	팬
gasgríma	gas mask	방독면
loftbelgur	hot air balloon	열기구
ég anda	I breathe	저는 숨을 쉬어요
ég kafna	I choke	저는 숨이 막혀요
lungu	lungs	폐
hreinlætispappír	tissue	종이 티슈
fallhlíf	parachute	낙하산
fallhlífarstökkvari	paraglider	패러글라이더
dæla	pump	펌프
gat	puncture	펑크
mengunarský	smog	스모그
loftskip	airship	비행선
beach			17
strandbolti	beach ball	비치볼
strandhandklæði	beach towel	해변용 수건
strandblak	beach volleyball	비치 발리볼
kælir	cooler	아이스박스
frisbídiskur	frisbee	프리스비
það rennur	it slides	미끄러지다
björgunarvesti	life jacket	구명조끼
lífvörður	lifeguard	안전요원
sólhlíf	parasol	양산
sandkassi	sandbox	모래 놀이 통
rennibraut	slide	미끄럼틀
snorkla	snorkel	스노클
sólbekkur	sun chair	비치 의자
sólbað	sunbathing	일광욕
sólarvörn	sunscreen	선크림
brimbretti	surfboard	서핑보드
róla	swing	그네
birds			17
fuglahús	birdhouse	새집
kólíbrífugl	hummingbird	벌새
kráka	crow	까마귀
fálki	falcon	매
fjöður	feather	깃털
gæs	goose	거위
strútur	ostrich	타조
ugla	owl	올빼미
páfagaukur	parrot	앵무새
pelíkani	pelican	펠리컨
mörgæs	penguin	펭귄
hani	rooster	수탉
mávur	seagull	갈매기
flamingó	flamingo	홍학
svala	swallow	제비
svanur	swan	백조
örn	eagle	독수리
flowers			17
dvergtré	bonsai	분재
kamilla	chamomile	카밀레
túnfífill	dandelion	민들레
blómapottur	flowerpot	화분
gleym-mér-ei	forget me not	물망초
ég vökva	I water	저는 물을 줘요
lótusblóm	lotus	연꽃
brönugras	orchid	난초
heygaffall	pitchfork	쇠스랑
klippur	pruner	전지가위
rós	rose	장미
músasmári	shamrock	토끼풀
sólblóm	sunflower	해바라기
túlípani	tulip	튤립
vatnalilja	water lily	수련
vökvunarkanna	watering pot	물뿌리개
hjólbörur	wheelbarrow	손수레
insects			17
býflugnabóndi	beekeeper	양봉가
bjalla	beetle	딱정벌레
fiðrildislirfa	caterpillar	애벌레
drekafluga	dragonfly	잠자리
blysbjalla	firebug	방화범
fló	flea	벼룩
fluga	fly	파리
engispretta	grasshopper	메뚜기
býflugnabú	hive	벌집
vespa	hornet	말벌
maríubjalla	ladybug	무당벌레
lirfa	larvae	유충
bænabeiða	mantis	사마귀
moskítófluga	mosquito	모기
sporðdreki	scorpion	전갈
skógarmítill	tick	진드기
ormur	worm	벌레
pets			17
fiskabúr	aquarium	수족관
fuglabúr	birdcage	새장
ég strýk	I caress	저는 쓰다듬어요
kattarúm	cat bed	고양이 침대
ferðabúr	pet carrier	애완동물 캐리어
kattamatur	cat food	고양이 음식
kattaskítur	cat litter	고양이 깔개
dýravegabréf	pet passport	애완동물 여권
hundaól	dog collar	개목걸이
hundamatur	dog food	개밥
hundakofi	dog house	개집
hundakúkapoki	dog poop bag	개 대변 봉지
gullfiskur	goldfish	금붕어
hamstur	hamster	햄스터
ég geng með hundinn	I walk the dog	저는 개를 산책시켜요
merkispjald	identification tag	인식표
taumur	leash	끈
sea_life			17
akkeri	anchor	닻
krabbi	crab	게
höfrungur	dolphin	돌고래
marglytta	jellyfish	해파리
humar	lobster	바닷가재
hafmeyja	mermaid	인어공주
kolkrabbi	octopus	문어
ár	paddles	노
skata	ray	가오리
sæhestur	seahorse	해마
þang	seaweed	해초
skel	shell	조개
sjávarsnigill	sea snail	바다우렁이
smokkfiskur	squid	오징어
krossfiskur	starfish	불가사리
kafbátur	submarine	잠수함
hvalur	whale	고래
natural_disasters			18
eldgos	volcanic eruption	화산 폭발
skriða	landslide	산사태
haglél	hailstorm	우박
flóðbylgja	tsunami	쓰나미
fellibylur	typhoon	태풍
jarðskjálfti	earthquake	지진
grjóthrun	rockslide	돌사태
